#time, gyroZ[]
237.104,-0.00213053
237.209,-0.00213053
237.314,0.00958738
237.419,-0.00213053
237.524,-0.00213053
237.629,-0.00639159
237.734,-0.00639159
237.839,-0.00106526
237.944,-0.00213053
238.049,-0.0500674
238.154,0
238.259,0.00106526
238.364,-0.00532632
238.469,0.00532632
238.574,-0.00639159
238.679,-0.0245011
238.784,0.00958738
238.889,0.0138484
238.994,-0.00532632
239.099,-0.00106526
239.204,0.00213053
239.309,0
239.414,-0.0287621
239.519,-0.00106526
239.624,0.00852212
239.729,-0.00106526
239.834,-0.00426106
239.939,-0.00426106
240.044,0.00426106
240.149,-0.00213053
240.254,-0.00106526
240.359,0.00426106
240.464,0.00106526
240.569,0.00213053
240.674,0.00213053
240.779,0.00106526
240.884,0
240.989,0.00106526
241.094,0.00532632
241.199,0.00426106
241.304,0
241.409,-0.00106526
241.514,0
241.619,0.00106526
241.724,-0.00532632
241.829,-0.00852212
241.934,0.015979
242.039,0.0117179
242.144,0
242.249,-0.00106526
242.354,-0.00106526
242.459,-0.0117179
242.564,-0.00106526
242.669,0.00213053
242.774,-0.00319579
242.879,-0.015979
242.984,0.00426106
243.089,0
243.194,0.0191748
243.299,0.00213053
243.404,-0.00106526
243.509,0.00213053
243.614,-0.00213053
243.719,0.00426106
243.824,0
243.929,0
244.034,-0.00532632
244.139,-0.00213053
244.244,-0.00106526
244.349,-0.00213053
244.454,-0.00213053
244.559,-0.00213053
244.664,-0.00852212
244.769,-0.00532632
244.874,-0.0213053
244.979,-0.0383495
245.084,-0.00106526
245.189,0
245.294,0
245.399,-0.00106526
245.504,0.00213053
245.609,0
245.714,-0.00213053
245.819,0.00106526
245.924,-0.00319579
246.029,-0.00426106
246.134,0.0117179
246.239,0
246.344,-0.00106526
246.449,0
246.554,0.00639159
246.659,0.0319579
246.764,0.00639159
246.869,0.00532632
246.974,0.00852212
247.079,0.00532632
247.184,0.00426106
247.289,-0.00852212
247.394,-0.00319579
247.499,0.00213053
247.604,-0.00745685
247.709,-0.00106526
247.814,0.0127832
247.919,0.0127832
248.024,-0.00532632
248.129,-0.0234358
248.234,0.0543285
248.339,-0.00532632
248.444,0.0308927
248.549,0.0223706
248.654,-0.00532632
248.759,-0.00639159
248.864,0.00852212
248.969,0.00852212
249.074,-0.0213053
249.179,0
249.284,-0.00958738
249.389,-0.0117179
249.494,-0.00745685
249.599,0.0106526
249.704,0.0117179
249.809,0
249.914,0.00106526
250.019,-0.02024
250.124,-0.00319579
250.229,-0.0213053
250.334,-0.00639159
250.439,-0.00106526
250.544,-0.00852212
250.649,-0.00426106
250.754,0.00958738
250.859,0.00639159
250.964,0.00319579
251.069,0
251.174,-0.00426106
251.279,0.00106526
251.384,-0.00106526
251.489,-0.00852212
251.594,-0.00213053
251.699,0.0330232
251.804,-0.0106526
251.909,-0.00532632
252.014,-0.00639159
252.119,0
252.224,0.0181095
252.329,-0.0106526
252.434,0.00106526
252.539,0.00852212
252.644,0.00745685
252.749,-0.00426106
252.854,-0.00213053
252.959,0
253.064,-0.0106526
253.169,-0.0223706
253.274,-0.0308927
253.379,-0.00319579
253.484,0.00852212
253.589,0.00213053
253.694,0.118244
253.799,-0.0426106
253.904,-0.0245011
254.009,0.00745685
254.114,0.00319579
254.219,-0.00745685
254.324,-0.00213053
254.429,-0.0191748
254.534,0.00213053
254.639,0.0191748
254.744,0.00213053
254.849,0.0447411
254.954,0.02024
255.059,0.0458064
255.164,-0.0287621
255.269,0.00958738
255.374,-0.0170442
255.479,0.00426106
255.584,-0.00319579
255.689,-0.00319579
255.794,-0.0181095
255.899,0.015979
256.004,-0.0340885
256.109,-0.036219
256.214,-0.0298274
256.319,-0.0319579
256.424,-0.0862864
256.529,-0.00319579
256.634,0.0223706
256.739,0.00958738
256.844,-0.0106526
256.949,0.0138484
257.054,-0.0170442
257.159,0.00639159
257.264,0.0138484
257.369,-0.0223706
257.474,-0.0138484
257.579,-0.00852212
257.684,0.0255663
257.789,-0.0777643
