#time, Temp[]
152.005,0.62
152.105,0.62
152.205,0.62
152.305,0.62
152.405,0.62
152.505,0.62
152.605,0.62
152.705,0.62
152.807,0.62
152.905,0.62
153.005,0.62
153.105,0.62
153.205,0.62
153.305,0.62
153.405,0.62
153.505,0.62
153.605,0.62
153.705,0.62
153.805,0.62
153.905,0.62
154.006,0.62
154.105,0.62
154.207,0.62
154.305,0.62
154.407,0.62
154.505,0.62
154.605,0.62
154.705,0.62
154.806,0.62
154.905,0.62
155.005,0.62
155.105,0.62
155.205,0.62
155.305,0.62
155.405,0.62
155.505,0.62
155.605,0.62
155.705,0.62
155.805,0.62
155.905,0.62
156.005,0.62
156.105,0.62
156.205,0.62
156.305,0.62
156.407,0.62
156.505,0.62
156.605,0.62
156.705,0.62
156.805,0.62
156.905,0.62
157.005,0.62
157.105,0.62
157.205,0.62
157.305,0.62
157.405,0.62
157.505,0.62
157.607,0.62
157.705,0.62
157.805,0.62
157.905,0.62
158.005,0.62
158.105,0.62
158.207,0.62
158.305,0.62
158.407,0.62
158.505,0.62
158.607,0.62
158.705,0.62
158.805,0.62
158.905,0.62
159.005,0.62
159.105,0.62
159.205,0.62
159.305,0.62
159.405,0.62
159.505,0.62
159.607,0.62
159.705,0.62
159.806,0.62
159.905,0.62
160.005,0.62
160.105,0.62
160.205,0.62
160.305,0.62
160.405,0.62
160.505,0.62
160.605,0.62
160.705,0.62
160.806,0.62
160.905,0.62
161.005,0.62
161.105,0.62
161.205,0.62
161.305,0.62
161.405,0.62
161.505,0.62
161.605,0.62
161.705,0.62
161.805,0.62
161.905,0.62
162.006,0.62
162.105,0.62
162.207,0.62
162.305,0.62
162.407,0.62
162.505,0.62
162.605,0.62
162.705,0.62
162.807,0.62
162.905,0.62
163.005,0.62
163.105,0.62
163.205,0.62
163.305,0.62
163.405,0.62
163.505,0.62
163.605,0.62
163.705,0.62
163.805,0.62
163.905,0.62
164.005,0.62
164.105,0.62
164.207,0.62
164.305,0.62
164.405,0.62
164.505,0.62
164.606,0.62
164.705,0.62
164.807,0.62
164.905,0.62
165.007,0.62
165.105,0.62
165.206,0.63
165.305,0.63
165.406,0.62
165.505,0.63
165.606,0.62
165.705,0.63
165.805,0.63
165.905,0.63
166.007,0.63
166.105,0.63
166.207,0.63
166.305,0.63
166.407,0.63
166.505,0.63
166.606,0.62
166.705,0.63
166.806,0.63
166.905,0.63
167.005,0.63
167.105,0.63
167.205,0.63
167.305,0.63
167.405,0.63
167.505,0.63
167.605,0.63
167.705,0.63
167.807,0.63
167.905,0.63
168.007,0.63
168.105,0.63
168.207,0.63
