#time, GyrX[]
468.564,0.00331873
468.585,0.00722681
468.605,0.00203396
468.626,0.00119418
468.644,0.00308033
468.664,0.00421026
468.685,0.00319264
468.704,0.00130699
468.725,0.00434014
468.744,0.00419428
468.764,0.00386456
468.785,0.00263661
468.805,0.00232268
468.826,0.00323016
468.844,0.00156593
468.864,-0.00149015
468.885,-0.00210981
468.905,0.00195524
468.925,-0.000294556
468.944,0.0034243
468.964,0.00171091
468.985,0.00383447
469.005,0.00390983
469.026,0.00310045
469.044,0.00519346
469.064,0.00358084
469.085,0.00375308
469.105,0.00320911
469.125,0.00212221
469.144,0.00251883
469.164,0.00447026
469.185,0.00237701
469.205,0.00716948
469.226,-0.000301236
469.244,0.00414464
469.265,-0.000534854
469.285,0.00145861
469.305,0.00126508
469.324,0.00492006
469.344,0.00647184
469.364,0.00545322
469.385,0.00287598
469.405,0.00172746
469.426,0.00120492
469.444,-0.000210016
469.464,0.00237534
469.485,0.00180311
469.505,0.00136828
469.524,0.00162275
469.544,0.00640687
469.564,0.00120853
469.584,0.00471321
469.605,0.00254587
469.626,0.00576212
469.644,0.0051324
469.664,0.00524335
469.685,0.0045543
469.705,0.00267209
469.724,0.00299542
469.744,0.00445053
469.764,0.000691526
469.784,0.000852813
469.805,0.00435679
469.826,0.00532005
469.844,0.00377296
469.864,0.00450545
469.885,0.00390541
469.905,0.00320783
469.924,0.00295488
469.944,0.00380473
469.964,0.00264315
469.984,0.00519868
470.005,0.00728855
470.026,0.00781422
470.044,0.00988667
470.064,0.00250509
470.085,0.00160594
470.105,0.0041544
470.124,0.00344502
470.145,0.00175722
470.164,0.00103129
470.185,0.00784004
470.205,0.00787594
470.226,0.00409256
470.244,0.00108421
470.265,0.00402305
470.285,0.00190231
470.305,0.00281778
470.324,0.00180497
470.344,0.00318737
470.364,-0.00156223
470.385,0.00583167
470.405,0.00589026
470.426,0.00475745
470.444,0.00693589
470.465,0.000700775
470.485,0.00383083
470.505,0.00440044
470.524,0.00222603
470.544,0.00148032
470.564,0.00234776
470.585,0.00832156
470.605,0.00216289
470.626,0.00427028
470.644,0.00706918
470.665,0.00580951
470.685,0.00380447
470.705,0.00492421
470.724,0.0040982
470.744,0.00844024
470.765,0.00183877
470.784,0.00372142
470.805,0.00236609
470.826,0.00463197
470.844,0.00450635
470.865,0.00249632
470.885,0.00169297
470.905,0.00315741
470.924,0.00159788
470.944,0.00201648
470.964,0.00448202
470.985,0.00428373
471.004,0.00915042
471.026,0.00231567
471.044,0.00397767
471.065,0.00344223
471.085,0.00302609
471.105,0.00428132
471.124,0.00599125
471.144,0.00532291
471.164,0.00445227
471.184,0.000449813
471.205,0.00606864
471.226,0.00211212
471.244,0.00222921
471.264,-0.000563552
471.285,0.00327885
471.305,0.0078726
471.324,0.0089119
471.344,-0.000371474
471.364,-0.0018249
471.385,0.0038232
471.405,0.00836036
471.426,0.00664938
471.444,0.0025985
471.464,-0.00107542
471.485,0.00704683
471.505,0.00360451
471.524,0.0012794
471.544,0.000389653
471.564,0.00399085
471.585,0.00194474
471.605,0.00305855
471.626,0.00221061
471.644,0.00273004
471.664,0.000513372
471.685,0.00208436
471.705,0.00772092
471.724,0.00423479
471.744,0.0067611
471.764,0.00647784
471.785,0.00135493
471.805,0.00706916
471.826,0.0001487
471.844,0.00627711
471.864,0.000481481
471.885,0.00794388
471.905,0.00352602
471.924,0.00733681
471.944,0.00327296
471.964,0.00303592
471.985,0.00422569
472.005,0.00213814
472.026,0.000549157
472.044,0.00210194
472.064,-0.000711673
472.085,0.00501148
472.105,0.00355219
472.124,0.00357767
472.144,0.00755708
472.164,0.00567779
472.185,0.00458359
472.205,0.00381212
472.226,0.00569924
472.244,0.00797177
472.265,0.00255288
472.285,0.00225608
472.305,0.00411858
472.324,0.00517836
472.344,0.00539192
472.364,0.00612876
472.384,0.00153829
472.405,9.47571e-05
472.426,0.00396777
472.444,0.00162454
472.464,0.00472015
472.485,0.00310207
472.505,0.00163114
472.524,0.00261777
472.544,0.00547961
472.564,0.00413913
472.585,-0.000817163
472.605,-0.00127612
472.626,0.00130475
472.644,0.00532538
472.664,0.00299053
472.685,-0.00469884
472.705,-0.00131618
472.724,0.00453727
472.744,0.0046652
472.764,0.00476509
472.784,-0.000502888
472.805,0.00171597
472.826,0.00318426
472.844,0.00319607
472.865,0.00545373
472.885,0.00187726
472.905,0.00526487
472.924,0.0066512
472.944,0.00341431
472.964,0.00381837
472.985,-6.81157e-05
473.005,0.00572169
473.026,0.0046295
473.044,0.00420529
473.064,0.00824249
473.085,0.00210972
473.105,0.00319357
473.124,-0.00338943
473.144,0.00209552
473.164,0.002999
473.184,0.00395297
473.205,0.00588845
473.226,0.00606872
473.244,0.00264738
473.264,-0.000972126
473.285,0.00660766
473.305,0.00562438
473.325,0.0038478
473.344,0.00364935
473.364,0.0078709
473.385,0.00466662
473.405,0.0041373
473.426,0.00567677
473.444,0.00342875
473.464,0.00110384
473.485,0.00640416
473.505,0.00127024
473.525,0.00132505
473.544,0.00630373
473.564,0.0029716
473.585,0.00562754
473.605,0.00872681
473.626,-0.00396208
473.644,-0.000915026
473.664,0.00443965
473.685,0.00118611
473.705,0.00320651
473.725,-0.000187048
473.744,0.00782268
473.764,0.0028935
473.784,0.00426883
473.805,-0.000622194
473.826,0.000674167
473.844,0.00358898
473.864,0.00109092
473.885,0.00177733
473.904,0.00787963
473.925,0.00652087
473.944,0.00497558
473.964,-0.000180275
473.985,0.00196279
474.005,0.000783959
474.026,0.00390983
474.044,0.00371211
474.064,0.00137525
474.085,-0.00060277
474.104,0.00462866
474.125,0.00313017
474.144,0.00424817
474.164,0.00532843
474.184,0.00610458
474.205,0.00172906
474.226,0.00286644
474.244,0.00430637
474.265,0.00198848
474.285,0.00505265
474.305,0.00615577
474.325,0.000535813
474.344,0.00275692
474.364,0.00212888
474.385,-0.00325627
474.405,0.00204376
474.426,0.00263805
474.445,0.00309187
474.465,0.000978918
474.484,0.00715351
474.505,0.00428924
474.524,0.00111825
474.544,0.0062376
474.564,0.00753666
474.584,0.00675288
474.605,0.00252702
474.626,0.00178967
474.644,0.00442704
474.664,0.00502576
474.684,0.00464229
474.705,0.00312299
474.724,0.00229775
474.744,-0.000237428
474.764,0.00305696
474.785,0.00572164
474.805,0.00394915
474.826,0.00214209
474.845,0.00453102
474.864,0.00563603
474.884,0.00705704
474.905,-0.0018748
474.924,0.00241167
474.945,0.00749967
474.964,1.52592e-06
474.985,0.00369051
475.005,0.0071611
475.026,0.00464296
475.045,0.00593745
475.065,0.0078231
475.085,0.00323992
475.105,-0.000804651
475.125,0.00117952
475.144,0.00025887
475.164,9.41863e-06
475.185,-0.000296547
475.205,-0.00195018
475.226,0.00504552
475.245,0.00711532
475.264,0.00162462
475.285,-0.000877558
475.305,0.00413637
475.324,-0.000712342
475.344,0.00474108
475.364,0.00383115
475.385,0.00191001
475.405,0.00510531
475.426,0.00404707
475.444,-0.000242724
475.464,0.00279744
475.485,0.00610893
475.505,0.00541965
475.524,0.0021556
475.544,0.0020684
475.564,0.00364324
475.584,0.010656
475.605,0.0058169
475.626,0.00548782
475.644,0.00679225
475.664,0.00456942
475.685,0.00552411
475.705,-0.000268907
475.725,0.00108978
475.744,0.00219219
475.764,-0.000394948
475.785,-4.55046e-05
475.805,0.00345762
475.826,0.00464336
475.844,0.000766869
475.864,0.00372785
475.884,0.00401258
475.905,0.00613881
475.924,0.00260929
475.944,0.00304403
475.964,0.00487525
475.985,0.000762493
476.005,0.00499154
476.026,0.00186442
476.044,0.00482612
476.064,0.00531002
476.085,0.0049404
476.105,0.0083881
476.125,0.00564028
476.144,0.00245645
476.164,0.00160591
476.185,0.00632115
476.205,0.00125132
476.226,0.00461
476.245,0.00396638
476.264,0.00486876
476.284,0.00238089
