#time, AccY[]
40.2249,-0.647224
40.2441,-0.641655
40.2642,-0.610739
40.2845,-0.635718
40.3046,-0.632051
40.3245,-0.557479
40.3441,-0.668146
40.3656,-0.65622
40.3846,-0.555666
40.4047,-0.642379
40.4249,-0.67628
40.4442,-0.684001
40.4642,-0.629646
40.4845,-0.659459
40.5046,-0.651563
40.5246,-0.61869
40.5441,-0.600704
40.5641,-0.637534
40.5859,-0.604558
40.605,-0.643854
40.6247,-0.570556
40.6443,-0.631737
40.6643,-0.668931
40.6844,-0.611008
40.7046,-0.658145
40.7246,-0.674375
40.7444,-0.702263
40.7643,-0.631864
40.7861,-0.639544
40.8048,-0.615582
40.8244,-0.625527
40.8443,-0.656658
40.8642,-0.558472
40.8846,-0.649359
40.9046,-0.646688
40.9243,-0.572971
40.9443,-0.668139
40.9641,-0.606923
40.9859,-0.646924
41.0048,-0.67902
41.0245,-0.574692
41.0444,-0.61146
41.0642,-0.679023
41.0846,-0.696485
41.1046,-0.649585
41.1244,-0.592832
41.1443,-0.607215
41.1643,-0.650124
41.186,-0.654999
41.2047,-0.647722
41.2248,-0.65738
41.2442,-0.700105
41.2642,-0.711514
41.2845,-0.64969
41.3046,-0.56167
41.3243,-0.601838
41.3442,-0.642599
41.3643,-0.632504
41.3859,-0.653326
41.4048,-0.630713
41.4245,-0.59277
41.4444,-0.656386
41.4642,-0.701825
41.4845,-0.689828
41.5047,-0.654959
41.5243,-0.675682
41.5445,-0.672029
41.5657,-0.607801
41.5844,-0.5897
41.6047,-0.581827
41.6248,-0.613186
41.6444,-0.618252
41.6643,-0.641892
41.6845,-0.633204
41.7046,-0.683286
41.7244,-0.636967
41.7443,-0.538187
41.7644,-0.639094
41.7859,-0.576924
41.8048,-0.608292
41.8248,-0.62825
41.8442,-0.602007
41.8643,-0.641778
41.8845,-0.639261
41.9046,-0.610971
41.9243,-0.663664
41.9441,-0.626191
41.9642,-0.551895
41.9861,-0.569868
42.0045,-0.681639
42.0248,-0.696848
42.0442,-0.567079
42.0643,-0.651785
42.0844,-0.609707
42.1047,-0.599053
42.1243,-0.575602
42.1443,-0.579295
42.1644,-0.65633
42.1861,-0.630471
42.2047,-0.597867
42.2247,-0.672251
42.2441,-0.571867
42.2644,-0.616717
42.2844,-0.601043
42.3046,-0.559625
42.3245,-0.641629
42.3441,-0.706958
42.3643,-0.70529
42.386,-0.623216
42.4046,-0.669291
42.4248,-0.567973
42.444,-0.582003
42.4644,-0.62693
42.4847,-0.672571
42.5046,-0.647784
42.5244,-0.563747
42.5442,-0.69674
42.5643,-0.700794
42.586,-0.671917
42.6046,-0.676606
42.6247,-0.576781
42.6444,-0.615764
42.6644,-0.66981
42.6847,-0.646315
42.7046,-0.528282
42.7243,-0.608126
42.7442,-0.634529
42.7642,-0.698703
42.7862,-0.642997
42.8046,-0.641341
42.8247,-0.667955
42.8443,-0.578151
42.8643,-0.584313
42.8847,-0.600171
42.9046,-0.66265
42.9244,-0.566395
42.9442,-0.585035
42.9642,-0.65265
42.986,-0.551128
43.0045,-0.581991
43.0244,-0.623013
43.0444,-0.57496
43.0641,-0.608355
43.0846,-0.723476
43.1047,-0.645421
43.1245,-0.618986
43.1443,-0.557463
43.1641,-0.581661
43.186,-0.603755
43.2046,-0.59849
43.2247,-0.605528
43.2446,-0.689964
43.2642,-0.692656
43.2846,-0.598589
43.3045,-0.590338
43.3244,-0.563001
43.3442,-0.572588
43.3641,-0.549883
43.386,-0.587089
43.4047,-0.615374
43.4243,-0.635694
43.4446,-0.638501
43.4642,-0.62885
43.4847,-0.604438
43.5047,-0.590598
43.5244,-0.697375
43.5441,-0.668501
43.5642,-0.613693
43.5862,-0.666185
43.6047,-0.651984
43.6244,-0.545745
43.6445,-0.570411
43.6643,-0.651536
43.6846,-0.651683
43.7047,-0.638695
43.7244,-0.625723
43.7443,-0.579027
43.7641,-0.694202
43.786,-0.588062
43.8047,-0.64541
43.8244,-0.672181
43.8446,-0.620762
43.8644,-0.674012
43.8846,-0.595043
43.9047,-0.593065
43.9245,-0.686895
43.9442,-0.694177
43.9642,-0.606139
43.9859,-0.577471
44.0046,-0.553091
44.0243,-0.591634
44.0445,-0.625492
44.0643,-0.629676
44.0844,-0.699611
44.1048,-0.657975
44.1244,-0.616742
44.1442,-0.610102
44.1656,-0.575091
44.1844,-0.65206
44.2048,-0.563027
44.2243,-0.591041
44.2443,-0.621172
44.2645,-0.654428
44.2845,-0.573213
44.3048,-0.656884
44.3243,-0.59016
44.3442,-0.55426
44.3642,-0.648822
44.386,-0.597881
44.4047,-0.6098
44.4244,-0.586754
44.4443,-0.526677
44.4644,-0.59458
44.4844,-0.660743
44.5048,-0.690784
44.5245,-0.731135
44.5443,-0.647794
44.5642,-0.665019
44.5859,-0.647229
44.6047,-0.66362
44.6244,-0.661691
44.6443,-0.5883
44.6643,-0.632313
44.6846,-0.735317
44.7047,-0.600616
44.7245,-0.602996
44.7443,-0.639807
44.7641,-0.536512
44.7858,-0.558275
44.8047,-0.586707
44.8246,-0.610287
44.8444,-0.70283
44.8643,-0.674543
44.8847,-0.606499
44.9046,-0.694411
44.9246,-0.690991
44.9442,-0.646586
44.9642,-0.636657
44.986,-0.525297
45.0045,-0.609885
45.0245,-0.678907
45.0444,-0.617648
45.0642,-0.569451
45.0844,-0.668534
45.1046,-0.601951
45.1246,-0.609377
45.1442,-0.609084
45.1643,-0.622239
45.1859,-0.627333
45.2046,-0.688953
45.2245,-0.564453
45.2445,-0.619407
45.2644,-0.63049
45.2846,-0.70122
45.3047,-0.706786
45.3245,-0.689258
45.3441,-0.647783
45.3642,-0.61564
45.3859,-0.740575
45.4046,-0.532821
45.4244,-0.569449
45.4444,-0.651711
