time;accX;accY;accZ;gyroX;gyroY;gyroZ;alt;lat;lon;EleL;EleR
262.182000;-1.645745;0.170228;-16.408844;1.255127;0.965190;0.648279;633.662000;48.066400;11.643700;-0.143557;-0.015380
262.202000;-1.659431;0.151160;-16.259945;1.253341;0.928221;0.591059;633.662000;48.066400;11.643700;-0.139949;-0.019268
262.222000;-1.700946;0.115576;-15.805126;1.219456;0.868769;0.526940;633.662000;48.066400;11.643700;-0.136411;-0.021869
262.242000;-1.742460;0.079993;-15.350307;1.185570;0.809317;0.462822;633.662000;48.066400;11.643700;-0.132873;-0.024469
262.262000;-1.783974;0.044410;-14.895488;1.151684;0.749865;0.398703;633.662000;48.066400;11.643700;-0.129335;-0.027069
262.282000;-1.825489;0.008827;-14.440669;1.117799;0.690413;0.334584;633.662000;48.066400;11.643700;-0.125797;-0.029670
262.302000;-1.848184;-0.018978;-14.356686;1.067842;0.675936;0.295687;633.662000;48.066400;11.643700;-0.124835;-0.030676
262.322000;-1.855484;-0.040419;-14.576114;1.004738;0.698256;0.277425;633.662000;48.066400;11.643700;-0.126450;-0.030087
262.342000;-1.862783;-0.061860;-14.795543;0.941633;0.720576;0.259164;633.662000;48.066400;11.643700;-0.128065;-0.029499
262.362000;-1.870082;-0.083301;-15.014971;0.878529;0.742895;0.240902;633.662000;48.066400;11.643700;-0.129679;-0.028910
262.382000;-1.877381;-0.104742;-15.234400;0.815424;0.765215;0.222640;633.662000;48.066400;11.643700;-0.131294;-0.028322
262.402000;-1.895217;-0.124815;-15.314920;0.759077;0.780839;0.217162;633.221714;48.066406;11.643689;-0.132997;-0.027222
262.422000;-1.937642;-0.141694;-15.071320;0.718495;0.780839;0.241511;631.754095;48.066425;11.643650;-0.134963;-0.024586
262.442000;-1.980067;-0.158573;-14.827720;0.677914;0.780839;0.265860;630.286476;48.066444;11.643612;-0.136929;-0.021951
262.462000;-2.022492;-0.175452;-14.584120;0.637333;0.780839;0.290209;628.818857;48.066463;11.643574;-0.138895;-0.019316
262.482000;-2.064916;-0.192332;-14.340520;0.596751;0.780839;0.314557;627.351238;48.066482;11.643536;-0.140862;-0.016681
262.502000;-2.104536;-0.207797;-14.142927;0.559974;0.780332;0.339191;625.957000;48.066500;11.643500;-0.142828;-0.014046
262.522000;-2.090850;-0.196392;-14.819460;0.595483;0.770186;0.369221;625.957000;48.066500;11.643500;-0.143863;-0.013143
262.542000;-2.077164;-0.184987;-15.495993;0.630992;0.760041;0.399251;625.957000;48.066500;11.643500;-0.144898;-0.012241
262.562000;-2.063479;-0.173582;-16.172527;0.666501;0.749896;0.429281;625.957000;48.066500;11.643500;-0.145933;-0.011338
262.582000;-2.049793;-0.162177;-16.849060;0.702009;0.739750;0.459312;625.957000;48.066500;11.643500;-0.146967;-0.010435
262.602000;-2.036107;-0.150772;-17.525593;0.737518;0.729605;0.489342;625.957000;48.066500;11.643500;-0.148002;-0.009533
262.622000;-2.047238;-0.143017;-17.549220;0.772702;0.719135;0.489017;625.957000;48.066500;11.643500;-0.146547;-0.010068
262.642000;-2.064573;-0.136174;-17.409620;0.807805;0.708584;0.481104;625.957000;48.066500;11.643500;-0.144262;-0.011082
262.662000;-2.081909;-0.129331;-17.270020;0.842909;0.698033;0.473191;625.957000;48.066500;11.643500;-0.141977;-0.012096
262.682000;-2.099244;-0.122488;-17.130420;0.878012;0.687481;0.465277;625.957000;48.066500;11.643500;-0.139692;-0.013110
262.702000;-2.116579;-0.115645;-16.990820;0.913115;0.676930;0.457364;625.957000;48.066500;11.643500;-0.137407;-0.014125
262.722000;-2.172053;-0.096257;-16.393819;0.938731;0.694279;0.448558;625.957000;48.066500;11.643500;-0.135018;-0.015285
262.742000;-2.258731;-0.066604;-15.422581;0.956586;0.734454;0.439021;625.957000;48.066500;11.643500;-0.132523;-0.016591
262.762000;-2.345409;-0.036952;-14.451343;0.974441;0.774630;0.429484;625.957000;48.066500;11.643500;-0.130029;-0.017897
262.782000;-2.432087;-0.007299;-13.480105;0.992296;0.814805;0.419947;625.957000;48.066500;11.643500;-0.127534;-0.019203
262.802000;-2.518765;0.022354;-12.508867;1.010151;0.854981;0.410411;625.957000;48.066500;11.643500;-0.125040;-0.020510
262.822000;-2.559869;0.037773;-12.187571;1.006702;0.883834;0.400935;625.957000;48.066500;11.643500;-0.123699;-0.021802
262.842000;-2.494633;0.019981;-13.382810;0.953541;0.886269;0.391601;625.957000;48.066500;11.643500;-0.125819;-0.023054
262.862000;-2.429397;0.002190;-14.578048;0.900380;0.888704;0.382267;625.957000;48.066500;11.643500;-0.127939;-0.024305
262.882000;-2.364161;-0.015602;-15.773286;0.847219;0.891139;0.372934;625.957000;48.066500;11.643500;-0.130058;-0.025557
262.902000;-2.298924;-0.033393;-16.968524;0.794058;0.893574;0.363600;625.957000;48.066500;11.643500;-0.132178;-0.026808
262.922000;-2.238547;-0.050957;-18.103634;0.742591;0.896141;0.354134;625.957000;48.066500;11.643500;-0.134298;-0.028060
262.942000;-2.270480;-0.064187;-18.096320;0.723315;0.901213;0.342163;625.957000;48.066500;11.643500;-0.136332;-0.027112
262.962000;-2.302413;-0.077416;-18.089006;0.704038;0.906286;0.330191;625.957000;48.066500;11.643500;-0.138367;-0.026165
262.982000;-2.334347;-0.090646;-18.081691;0.684762;0.911359;0.318220;625.957000;48.066500;11.643500;-0.140401;-0.025217
