#time, gyroY[]
85.8821,0.371777
85.9871,0.120375
86.0921,0.173638
86.1971,-0.22264
86.3021,0.50174
86.4071,-0.0873517
86.5121,0.0575243
86.6171,0.0479369
86.7221,0.2024
86.8271,-0.00532632
86.9321,0.0106526
87.0371,0.0351537
87.1421,-0.0649811
87.2471,0.0756338
87.3521,-0.186421
87.4571,0.0490022
87.5621,-0.405866
87.6671,-0.0383495
87.7721,0.0287621
87.8771,0.0308927
87.9821,0.036219
88.0871,0.0383495
88.1921,0.0394148
88.2971,0.0394148
88.4021,0.0394148
88.5071,0.0383495
88.6121,0.04048
88.7171,0.04048
88.8221,0.0415453
88.9271,0.0415453
89.0321,0.04048
89.1371,0.0415453
89.2421,0.0436758
89.3471,0.0394148
89.4521,0.0415453
89.5571,0.0415453
89.6621,0.0426106
89.7671,0.0426106
89.8721,0.0426106
89.9771,0.0426106
90.0821,0.0426106
90.1871,0.0426106
90.2921,0.0415453
90.3971,0.0415453
90.5021,0.0426106
90.6071,0.0426106
90.7121,0.0426106
90.8171,0.0426106
90.9221,0.0426106
91.0271,0.0426106
91.1321,0.0415453
91.2371,0.0415453
91.3421,0.0415453
91.4471,0.0426106
91.5521,0.0415453
91.6571,0.0426106
91.7621,0.0426106
91.8671,0.0415453
91.9721,0.0426106
92.0771,0.0426106
92.1821,0.0426106
92.2871,0.0426106
92.3921,0.0436758
92.4971,0.0426106
92.6021,0.04048
92.7071,0.0426106
92.8121,0.0436758
92.9171,0.0436758
93.0221,0.0447411
93.1271,0.0426106
93.2321,0.0426106
93.3371,0.0426106
93.4421,0.0415453
93.5471,0.0426106
93.6521,0.0436758
93.7571,0.0436758
93.8621,0.0426106
93.9671,0.0436758
94.0721,0.0436758
94.1771,0.0436758
94.2821,0.0436758
94.3871,0.0426106
94.4921,0.0426106
94.5971,0.0426106
94.7021,0.0426106
94.8071,0.0426106
94.9121,0.0436758
95.0171,0.0436758
95.1221,0.0436758
95.2271,0.0436758
95.3321,0.0426106
95.4371,-0.648746
95.5421,0.0308927
95.6471,-0.143811
95.7521,-0.105461
95.8571,-0.0149137
95.9621,0.0873517
96.0671,0.295078
96.1721,0.109722
96.2771,-0.0894822
96.3821,0.0106526
96.4871,-0
96.5921,0.0575243
96.6971,0.116114
96.8021,-0.0117179
96.9071,0.0191748
97.0121,0.04048
97.1171,0.401605
97.2221,-0.0553938
97.3271,0.0213053
97.4321,-0.00426106
97.5371,0.0447411
97.6421,0.745685
97.7471,0.90441
97.8521,0.903344
97.9571,0.616788
98.0621,0.235423
98.1671,0.225836
98.2721,0.171508
98.3771,0.24288
98.4821,0.157659
98.5871,0.0458064
98.6921,0.112918
98.7971,0.0298274
98.9021,-0.0117179
99.0071,0.152333
99.1121,-0.107592
99.2171,0.0660464
99.3221,0.1012
99.4271,-0.0990696
99.5321,-0.0543285
99.6371,0.410127
99.7421,0.206661
99.8471,-0.0596548
99.9521,-0.191748
100.057,0.0181095
100.162,0.0692422
100.267,0.00852212
100.372,-0.0138484
100.477,0.122505
100.582,-0.0255663
100.687,-0.0191748
100.792,0.00532632
100.897,0.0266316
101.002,0.0575243
101.107,-0.00852212
101.212,0.0138484
101.317,0.0458064
101.422,0.0351537
101.527,0.0436758
101.632,0.0138484
101.737,0.0298274
101.842,0.0543285
101.947,0.0617853
102.052,0.0980043
102.157,0.0468716
102.262,0.0181095
102.367,0.0223706
102.472,-0.0500674
102.577,0.0937433
102.682,0.0553938
102.787,0.246076
102.892,0.015979
102.997,0.0308927
103.102,0.04048
103.207,-0.0383495
103.312,-0.015979
103.417,0.0127832
103.522,0.0138484
103.627,0.233293
103.732,-0.0340885
103.837,0.140615
103.942,0.104396
104.047,0.109722
104.152,0.0884169
104.257,-0.0149137
104.362,0.0553938
104.467,0.0543285
104.572,0.052198
104.677,0.076699
104.782,-0.0255663
104.887,0.117179
104.992,0.015979
105.097,0.0255663
105.202,-0.0617853
105.307,0.00639159
105.412,-0.0127832
105.517,-0.0873517
105.622,-0.0948085
105.727,-0.00106526
105.832,0.0841559
105.937,0.132093
106.042,0.268447
106.147,0.0884169
106.252,-0.102265
106.357,-0.172573
106.462,-0.00213053
106.567,0.0596548
106.672,-0.0245011
106.777,-0.103331
106.882,-0.0671117
106.987,-0.0223706
107.092,0.172573
107.197,-0.150202
107.302,0.00532632
107.407,-0.0394148
107.512,0.152333
107.617,0.175769
107.722,0.00639159
107.827,0.230097
107.932,0.0490022
108.037,0.0127832
108.142,-0
108.247,0.0532632
108.352,-0.00532632
108.457,0.0862864
108.562,0.0276969
108.667,-0.0213053
108.772,0.181095
108.877,-0.0426106
108.982,-0.0383495
109.087,0.154463
109.192,-0.0458064
109.297,0.0585895
109.402,0.0628506
109.507,0.110788
109.612,0.0809601
109.717,-0.0617853
109.822,0.158724
109.927,0.0617853
110.032,0.00426106
110.137,0.0639159
110.242,-0.0181095
110.347,0.14168
110.452,-0
110.557,0.280165
110.662,-0.0426106
110.767,-0.307861
110.872,-0.0681769
110.977,-0.0596548
111.082,0.0479369
111.187,0.0426106
111.292,0.036219
111.397,0.015979
111.502,0.107592
111.607,0.02024
111.712,-0.0127832
111.817,-0.13955
111.922,0.172573
112.027,0.246076
112.132,0.0436758
112.237,0.198139
112.342,-0.0649811
112.447,0.165116
112.552,0.0170442
112.657,0.00745685
112.762,-0.0575243
112.867,0.109722
112.972,-0.0948085
113.077,0.0607201
113.182,-0.233293
113.287,-0.135289
113.392,-0.226901
113.497,-0.0223706
113.602,-0.224771
113.707,-0.666856
113.812,0.0255663
113.917,-0.015979
114.022,0.0436758
114.127,0.0351537
114.232,0.04048
114.337,0.0415453
114.442,0.0426106
114.547,0.0394148
114.652,0.0415453
114.757,-0.02024
114.862,0.0873517
114.967,-0.13955
115.072,-0.0852212
115.177,0.0234358
115.282,0.142745
115.387,0.00319579
115.492,0.0181095
115.597,0.452737
115.702,0.306796
115.807,0.0894822
115.912,0.149137
116.017,-0.00639159
116.122,0.04048
116.227,-0.0937433
116.332,0.113983
116.437,0.0735032
116.542,0.0340885
116.647,-0.00319579
116.752,0.0426106
116.857,0.0330232
116.962,0.0585895
117.067,0.0106526
117.172,0.00213053
117.277,0.00106526
117.382,0.0223706
117.487,0.0468716
117.592,0.0415453
117.697,0.0415453
117.802,0.04048
117.907,0.0415453
118.012,0.0415453
118.117,0.0415453
118.222,0.0426106
118.327,0.0415453
118.432,0.0415453
118.537,0.0426106
118.642,0.0426106
118.747,0.0426106
118.852,0.0426106
118.957,0.0436758
119.062,0.0436758
119.167,0.0426106
119.272,0.0436758
119.377,0.0426106
119.482,0.0436758
119.587,0.0426106
119.692,0.0426106
119.797,0.0426106
119.902,0.0426106
120.007,0.0426106
120.112,0.0426106
120.217,0.0426106
120.322,0.0447411
120.427,0.0436758
120.532,0.0426106
120.637,0.0426106
120.742,0.0351537
120.847,0.0213053
120.952,0.0415453
121.057,0.0500674
121.162,0.0276969
121.267,0.0266316
121.372,0.0117179
121.477,0.0532632
121.582,0.0255663
121.687,0.02024
121.792,-0.0596548
121.897,0.0138484
122.002,0.144876
122.107,0.0543285
122.212,0.0287621
122.317,0.00639159
122.422,-0.0255663
122.527,0.0937433
122.632,0.0500674
122.737,0.036219
122.842,0.092678
122.947,0.0149137
123.052,0.0916127
123.157,0.00639159
123.262,0.0106526
123.367,0.0351537
123.472,0.0479369
123.577,-0.00639159
123.682,-0.00852212
123.787,0.0809601
123.892,0.00745685
123.997,0.0415453
124.102,0.0617853
124.207,0.0340885
124.312,0.036219
124.417,0.0447411
124.522,0.00213053
124.627,-0.015979
124.732,0.0426106
124.837,0.941694
124.942,0.829841
125.047,0.286556
125.152,0.485761
125.257,-0.193878
125.362,0.305731
125.467,-0.246076
125.572,-0.145941
125.677,-0.142745
125.782,-0.107592
125.887,0.137419
125.992,-0.0255663
126.097,0.345146
126.202,0.0138484
126.307,0.0553938
126.412,0.187487
126.517,-0.475108
126.622,-0.492152
126.727,0.236489
126.832,0.0884169
126.937,0.28336
127.042,-0.32384
127.147,-0.105461
127.252,-0.0255663
127.357,0.231162
127.462,-0.107592
127.567,-0.169377
127.672,0.397344
127.777,0.0937433
127.882,0.269512
127.987,-0.576308
128.092,0.0596548
128.197,0.36432
128.302,0.302535
128.407,-0.451672
128.512,0.208792
128.617,0.507066
128.722,0.0447411
128.827,-0.167247
128.932,0.280165
129.037,-0.188552
129.142,-0.02024
129.247,0.318514
129.352,0.131028
129.457,-0.0958738
129.562,-0.00106526
129.667,-0.372843
129.772,0.0703075
129.877,-0.0149137
129.982,0.0447411
130.087,0.0436758
130.192,0.04048
130.297,0.0426106
130.402,0.0426106
130.507,0.0426106
130.612,0.0415453
130.717,0.0426106
130.822,0.0426106
130.927,0.0415453
131.032,0.0426106
131.137,0.0436758
131.242,0.0436758
131.347,0.0447411
131.452,0.0426106
131.557,0.0426106
131.662,0.0426106
131.767,0.0436758
131.872,0.0426106
131.977,0.0436758
132.082,0.0436758
132.187,0.0426106
132.292,0.0426106
132.397,0.0436758
132.502,0.0436758
132.607,0.0436758
132.712,0.0426106
132.817,0.0436758
132.922,0.0436758
133.027,0.0436758
133.132,0.0436758
133.237,0.0436758
133.342,0.0426106
133.447,0.0436758
133.552,0.0436758
133.657,0.0436758
133.762,0.0436758
133.867,0.0436758
133.972,0.0436758
134.077,0.0436758
134.182,0.0447411
134.287,0.0426106
134.392,0.0436758
134.497,0.0436758
134.602,0.0426106
134.707,0.04048
134.812,0.0426106
134.917,0.0436758
135.022,0.0436758
135.127,0.0436758
135.232,0.0426106
135.337,0.0426106
135.442,0.0436758
135.547,0.0436758
135.652,0.0426106
135.757,0.0436758
135.862,0.0436758
135.967,0.0436758
136.072,0.0436758
136.177,0.0436758
136.282,0.0436758
136.387,0.0436758
136.492,0.0436758
136.597,0.0436758
136.702,0.0436758
136.807,0.0436758
136.912,0.0436758
137.017,0.0436758
137.122,0.0426106
137.227,0.0426106
137.332,0.0436758
137.437,0.0436758
137.542,0.0436758
137.647,0.0436758
137.752,0.0447411
