#time, accZ[]
116.857,-12.0637
116.962,-10.3369
117.067,-10.2411
117.172,-10.404
117.277,-10.2507
117.382,-10.3585
117.487,-10.4111
117.592,-10.4279
117.697,-10.4423
117.802,-10.4591
117.907,-10.4591
118.012,-10.4614
118.117,-10.4734
118.222,-10.4111
118.327,-10.4543
118.432,-10.4447
118.537,-10.4614
118.642,-10.4638
118.747,-10.4423
118.852,-10.4519
118.957,-10.4423
119.062,-10.4279
119.167,-10.4471
119.272,-10.4399
119.377,-10.4399
119.482,-10.4255
119.587,-10.4423
119.692,-10.4638
119.797,-10.4279
119.902,-10.4159
120.007,-10.4159
120.112,-10.4231
120.217,-10.4375
120.322,-10.471
120.427,-10.4303
120.532,-10.4231
120.637,-10.4351
120.742,-10.6507
120.847,-10.9309
120.952,-9.98244
121.057,-10.3321
121.162,-10.3872
121.267,-10.2555
121.372,-10.6171
121.477,-10.4064
121.582,-10.6028
121.687,-10.5549
121.792,-10.4088
121.897,-10.3848
122.002,-9.97526
122.107,-10.368
122.212,-10.8854
122.317,-10.9692
122.422,-10.6746
122.527,-9.79563
122.632,-11.0219
122.737,-9.83874
122.842,-11.5105
122.947,-10.0112
123.052,-9.75252
123.157,-9.79323
123.262,-10.7488
123.367,-10.3537
123.472,-10.6962
123.577,-10.665
123.682,-10.4974
123.787,-10.3153
123.892,-10.9237
123.997,-10.4519
124.102,-9.75492
124.207,-10.4878
124.312,-10.5046
124.417,-10.4016
124.522,-10.8111
124.627,-11.9535
124.732,-10.7369
124.837,-12.4781
124.942,-6.8785
125.047,-10.7608
125.152,-11.8769
125.257,-12.8325
125.362,-12.4086
125.467,-9.46272
125.572,-14.5018
125.677,-10.5549
125.782,-10.665
125.887,-10.3297
125.992,-10.0351
126.097,-10.5501
126.202,-10.6363
126.307,-9.71899
126.412,-8.68195
126.517,-9.51541
126.622,-9.77408
126.727,-11.1225
126.832,-10.5525
126.937,-11.9823
127.042,-10.6459
127.147,-11.2279
127.252,-9.63995
127.357,-10.3417
127.462,-10.2938
127.567,-10.4064
127.672,-10.4734
127.777,-10.665
127.882,-10.0639
127.987,-9.91299
128.092,-10.2363
128.197,-9.20406
128.302,-9.80042
128.407,-10.5141
128.512,-7.51318
128.617,-9.41722
128.722,-9.9537
128.827,-8.88313
128.932,-10.5333
129.037,-10.7465
129.142,-11.1608
129.247,-10.2722
129.352,-10.5165
129.457,-9.43398
129.562,-10.4998
129.667,-8.95977
129.772,-10.4471
129.877,-10.4423
129.982,-10.392
130.087,-10.3968
130.192,-10.4207
130.297,-10.4399
130.402,-10.4111
130.507,-10.4662
130.612,-10.4303
130.717,-10.4279
130.822,-10.4423
130.927,-10.4519
131.032,-10.4351
131.137,-10.4591
131.242,-10.4399
131.347,-10.4591
131.452,-10.4638
131.557,-10.4399
131.662,-10.4471
131.767,-10.4543
131.872,-10.4447
131.977,-10.4567
132.082,-10.4591
132.187,-10.4471
132.292,-10.4471
132.397,-10.4662
132.502,-10.4423
132.607,-10.4447
132.712,-10.4327
132.817,-10.4638
132.922,-10.4471
