#time, pitch[]
143.527,-0.0776811
143.632,-0.0776612
143.737,-0.0776643
143.842,-0.0776163
143.947,-0.0777341
144.052,-0.077755
144.157,-0.0776832
144.262,-0.0776187
144.367,-0.0776819
144.472,-0.0777448
144.577,-0.0777757
144.682,-0.0778731
144.787,-0.0780135
144.892,-0.0780926
144.997,-0.0782342
145.102,-0.0783275
145.207,-0.0782937
145.312,-0.0782428
145.417,-0.0782231
145.522,-0.0781802
145.627,-0.0781044
145.732,-0.0781265
145.837,-0.078076
145.942,-0.0780852
146.047,-0.0781084
146.152,-0.0780889
146.257,-0.0781199
146.362,-0.0780395
146.467,-0.0780081
146.572,-0.0779586
146.677,-0.0779372
146.782,-0.0779123
146.887,-0.0778331
146.992,-0.077814
147.097,-0.0778409
147.202,-0.0778069
147.307,-0.0778573
147.412,-0.0780519
147.517,-0.0780253
147.622,-0.0779902
147.727,-0.0780029
147.832,-0.0780602
147.937,-0.0781169
148.042,-0.0781082
148.147,-0.0782722
148.252,-0.0782138
148.357,-0.0781856
148.462,-0.0781051
148.567,-0.078102
148.672,-0.0780957
148.777,-0.0781015
148.882,-0.0781399
148.987,-0.078154
149.092,-0.0780919
149.197,-0.0780412
149.302,-0.0780635
149.407,-0.0780972
149.512,-0.0781426
149.617,-0.0780773
149.722,-0.0780619
149.827,-0.0779074
149.932,-0.0778319
150.037,-0.0778633
150.142,-0.0778264
150.247,-0.0778952
150.352,-0.0780702
150.457,-0.0780996
150.562,-0.0780381
150.667,-0.0781395
150.772,-0.0781194
150.877,-0.078132
150.982,-0.0780965
151.087,-0.0780488
151.192,-0.0781621
151.297,-0.0782013
151.402,-0.0782357
151.507,-0.0781438
151.612,-0.0781943
151.717,-0.0781642
151.822,-0.078208
151.927,-0.0782665
152.032,-0.0782535
152.137,-0.0782412
152.242,-0.0782479
152.347,-0.0782528
152.452,-0.0783103
152.557,-0.0783314
152.662,-0.0782753
152.767,-0.0783064
152.872,-0.0782123
152.977,-0.0782647
153.082,-0.0782794
153.187,-0.0782248
153.292,-0.0782514
153.397,-0.078401
153.502,-0.0784454
153.607,-0.0784484
153.712,-0.0783936
153.817,-0.0784085
153.922,-0.0784092
154.027,-0.0783885
154.132,-0.0784836
154.237,-0.0785707
154.342,-0.0785614
154.447,-0.0785472
154.552,-0.0786098
154.657,-0.078463
154.762,-0.0783386
154.867,-0.0783595
154.972,-0.0784653
155.077,-0.0783811
155.182,-0.0784016
155.287,-0.0785484
155.392,-0.0785059
155.497,-0.0785058
155.602,-0.0785518
155.707,-0.0785916
155.812,-0.0785673
155.917,-0.0785818
156.022,-0.0785421
156.127,-0.0785235
156.232,-0.0786119
156.337,-0.0786602
156.442,-0.0787002
156.547,-0.0787364
156.652,-0.0787224
156.757,-0.0786872
156.862,-0.0786062
156.967,-0.078732
157.072,-0.0788094
157.177,-0.0788136
157.282,-0.0787301
157.387,-0.0788306
157.492,-0.0788121
157.597,-0.0788265
157.702,-0.0788535
157.807,-0.0788662
157.912,-0.0789036
158.017,-0.078881
158.122,-0.0788131
158.227,-0.0787762
158.332,-0.0788013
158.437,-0.0787859
158.542,-0.0788932
158.647,-0.0789152
158.752,-0.078927
158.857,-0.0788071
158.962,-0.0787945
159.067,-0.0788537
159.172,-0.0790257
159.277,-0.0790358
159.382,-0.0790451
159.487,-0.0790777
159.592,-0.079066
159.697,-0.0790401
159.802,-0.0790389
159.907,-0.0788821
160.012,-0.078886
160.117,-0.0789108
160.222,-0.078926
160.327,-0.0789385
160.432,-0.0789201
160.537,-0.0789946
160.642,-0.0789301
160.747,-0.0789697
160.852,-0.0788198
160.957,-0.0788671
161.062,-0.0788921
161.167,-0.0789511
161.272,-0.0788956
161.377,-0.0789652
