#time, GyrZ[]
491.408,-0.0117838
491.427,-0.0168944
491.447,-0.0125137
491.467,-0.00816148
491.487,-0.00829322
491.507,-0.0129914
491.527,-0.0143312
491.547,-0.0140206
491.567,-0.00953843
491.587,-0.0137861
491.608,-0.0153479
491.627,-0.009908
491.647,-0.00994176
491.667,-0.00641496
491.687,-0.00904582
491.707,-0.0105742
491.727,-0.010848
491.747,-0.00944616
491.767,-0.0138643
491.787,-0.0110153
491.808,-0.00961823
491.827,-0.00231202
491.847,-0.0126032
491.867,-0.00757573
491.887,-0.0172147
491.907,-0.014361
491.927,-0.00703479
491.947,-0.0080923
491.967,-0.0108119
491.987,-0.0147351
492.008,-0.0125016
492.027,-0.00884133
492.047,-0.012702
492.067,-0.00619549
492.086,-0.00991229
492.106,-0.0145755
492.127,-0.012816
492.147,-0.00898842
492.167,-0.0122065
492.187,-0.0120427
492.208,-0.0141555
492.227,-0.00477881
492.247,-0.00936267
492.267,-0.0085901
492.286,-0.00655566
492.307,-0.00732874
492.327,-0.00828887
492.347,-0.0140751
492.367,-0.00874932
492.387,-0.0115066
492.408,-0.0112864
492.427,-0.0152572
492.447,-0.0101831
492.467,-0.0117598
492.486,-0.00907588
492.507,-0.00884331
492.527,-0.0128241
492.547,-0.0146407
492.567,-0.0140217
492.587,-0.0151151
492.608,-0.0110239
492.627,-0.0132294
492.647,-0.0133096
492.667,-0.0121281
492.687,-0.0145086
492.707,-0.0110982
492.727,-0.00969175
492.747,-0.0123173
492.767,-0.0116237
492.787,-0.0139914
492.808,-0.0081283
492.827,-0.013422
492.847,-0.0165591
492.867,-0.0127271
492.887,-0.013047
492.907,-0.00913146
492.927,-0.0164009
492.947,-0.0133885
492.967,-0.00777087
492.987,-0.0105055
493.008,-0.0117982
493.027,-0.0102942
493.047,-0.015685
493.067,-0.011987
493.087,-0.0153985
493.107,-0.0113021
493.127,-0.00839471
493.147,-0.00761359
493.167,-0.00651693
493.187,-0.011682
493.208,-0.00994262
493.227,-0.00803978
493.247,-0.0128741
493.267,-0.0131679
493.287,-0.0119759
493.307,-0.0117916
493.327,-0.00978274
493.347,-0.00713144
493.367,-0.00728802
493.387,-0.0137594
493.408,-0.0108507
493.427,-0.00575926
493.447,-0.0154388
493.467,-0.0135234
493.487,-0.0132958
493.507,-0.0114185
493.527,-0.0117263
493.547,-0.0149882
493.567,-0.0122834
493.587,-0.00981723
493.608,-0.00632696
493.627,-0.00930623
493.647,-0.00926796
493.667,-0.0133576
493.687,-0.00975051
493.707,-0.0121247
493.727,-0.011375
493.747,-0.0149751
493.767,-0.0116469
493.787,-0.00966471
493.808,-0.0144949
493.827,-0.0135454
493.847,-0.0107287
493.867,-0.0139251
493.887,-0.0102857
493.907,-0.0110631
493.927,-0.0160549
493.947,-0.0111666
493.967,-0.00676784
493.986,-0.0101683
494.008,-0.0108506
494.027,-0.0131129
494.047,-0.0146248
494.067,-0.00673841
494.086,-0.0163306
494.107,-0.00949305
494.127,-0.012761
494.147,-0.0160714
494.167,-0.0104115
494.187,-0.00685692
494.208,-0.00810199
494.227,-0.00912241
494.247,-0.0142703
494.267,-0.0118661
494.287,-0.0102514
494.307,-0.0116512
494.327,-0.00816561
494.347,-0.00545314
494.367,-0.0133982
494.387,-0.0145334
494.408,-0.0175319
494.427,-0.0114596
494.447,-0.0163691
494.467,-0.0103913
494.487,-0.0102737
494.507,-0.0157595
494.527,-0.0110742
494.547,-0.0134398
494.567,-0.0138189
494.587,-0.00768317
494.608,-0.00624079
494.627,-0.0145101
494.647,-0.00862319
494.667,-0.0119421
494.687,-0.00893295
494.707,-0.0146653
494.727,-0.0132042
494.747,-0.0111117
494.767,-0.0121904
494.787,-0.0120426
494.808,-0.0148614
494.827,-0.0148001
494.847,-0.0113011
494.867,-0.00728334
494.886,-0.00947566
494.907,-0.017949
494.927,-0.0153115
494.947,-0.00572041
494.967,-0.00804337
494.987,-0.0101671
495.008,-0.0169392
495.027,-0.00929396
495.047,-0.0106135
495.067,-0.0166525
495.086,-0.0168037
495.106,-0.0152394
495.127,-0.0080506
495.147,-0.0149668
495.167,-0.0121437
495.187,-0.0117223
495.208,-0.0146261
495.227,-0.00763133
495.247,-0.0164977
495.267,-0.0071214
495.287,-0.0102006
495.307,-0.0101783
495.327,-0.0151889
495.347,-0.0108453
495.367,-0.00658183
495.387,-0.00886234
495.408,-0.00895564
495.427,-0.00986715
495.447,-0.0139452
495.467,-0.00870592
495.486,-0.0117085
495.506,-0.0174106
495.527,-0.0118341
495.547,-0.00892559
495.567,-0.00925893
495.587,-0.0134936
495.608,-0.0136434
495.627,-0.00756038
495.647,-0.0109087
495.667,-0.00658603
495.686,-0.0157748
495.706,-0.0077575
495.727,-0.0108567
495.747,-0.0112858
495.767,-0.0111055
495.787,-0.010184
495.808,-0.00795806
495.827,-0.010691
495.847,-0.00972211
495.867,-0.016284
495.886,-0.0131982
495.907,-0.01308
495.927,-0.0134426
495.947,-0.0138357
495.967,-0.0152255
495.987,-0.0123846
496.008,-0.0114519
496.027,-0.00960889
496.047,-0.00809731
496.067,-0.007973
496.086,-0.00780367
496.107,-0.00610847
496.127,-0.00787396
496.147,-0.016557
496.167,-0.01616
496.186,-0.0126677
496.208,-0.0102821
496.227,-0.012466
496.247,-0.0121497
496.267,-0.0114961
496.287,-0.0147524
496.307,-0.0144566
496.327,-0.0124533
496.347,-0.0129127
496.367,-0.00934424
496.387,-0.0125073
496.408,-0.0108714
496.427,-0.00977668
496.447,-0.0124742
496.467,-0.0120792
496.486,-0.0123919
496.506,-0.00889205
496.527,-0.0107999
496.547,-0.0105197
496.567,-0.00641031
496.587,-0.011259
496.608,-0.00515343
496.627,-0.0119416
496.647,-0.0115659
496.667,-0.0141723
496.687,-0.0090469
496.707,-0.00416428
496.727,-0.0088057
496.747,-0.0122189
496.767,-0.0102235
496.787,-0.0119483
496.808,-0.010717
496.827,-0.0110387
496.847,-0.00699049
496.867,-0.00502605
496.887,-0.0105581
496.907,-0.0073469
496.927,-0.0138238
496.947,-0.0122358
496.967,-0.0147913
496.987,-0.0125749
497.008,-0.0103705
497.027,-0.008528
497.047,-0.0100811
497.067,-0.00852586
497.086,-0.0130935
497.106,-0.00937505
497.127,-0.0161892
497.147,-0.0155747
497.167,-0.0105262
497.186,-0.0100631
497.208,-0.0161988
497.227,-0.0112124
497.247,-0.00896884
497.267,-0.0137471
497.287,-0.0172958
497.307,-0.0122715
497.327,-0.0106323
497.347,-0.0098737
497.367,-0.0112593
497.387,-0.00326049
497.408,-0.00888342
497.427,-0.0119455
497.447,-0.0149146
497.467,-0.0160579
497.487,-0.0114836
497.507,-0.0147397
497.527,-0.00677256
497.547,-0.00827142
497.567,-0.0116234
497.587,-0.0132235
