time;AccX;AccY;AccZ;GyrX;GyrY;GyrZ;Press;Temp;Alt;Lat;Lng;NSats;Spd
351.026800;-2.083495;0.289188;-9.483065;0.004199;0.102296;-0.010263;95820.448000;0.510000;5.530000;48.066500;11.644500;13.000000;0.043507
351.046800;-2.061732;0.270516;-9.426965;0.007224;0.095092;-0.013228;95819.648000;0.510000;5.530000;48.066500;11.644500;13.000000;0.041335
351.066800;-2.105872;0.322264;-9.393057;0.007437;0.093492;-0.012577;95821.292000;0.510000;5.530000;48.066500;11.644500;13.000000;0.039164
351.086800;-2.078154;0.255852;-9.497620;0.006170;0.097495;-0.007229;95823.092000;0.510000;5.530000;48.066500;11.644500;13.000000;0.036992
351.106800;-2.094423;0.284321;-9.502521;0.008608;0.102535;-0.008948;95824.892000;0.510000;5.530000;48.066500;11.644500;13.000000;0.034821
351.126800;-2.228141;0.304050;-9.499778;0.006994;0.096870;-0.008985;95826.692000;0.510000;5.530000;48.066500;11.644500;13.000000;0.032649
351.146800;-2.036153;0.280366;-9.400819;0.001930;0.088360;-0.010001;95828.492000;0.510000;5.530000;48.066500;11.644500;13.000000;0.030478
351.166800;-2.064712;0.216742;-9.411255;0.005581;0.093237;-0.016692;95829.492525;0.510000;5.530000;48.066500;11.644500;13.000000;0.028306
351.186800;-2.132199;0.261848;-9.468790;0.011440;0.096417;-0.012614;95830.442020;0.510000;5.530000;48.066500;11.644500;13.000000;0.034824
351.206800;-2.056934;0.231888;-9.515846;0.007651;0.100065;-0.009141;95831.391515;0.510000;5.530000;48.066500;11.644500;13.000000;0.041429
351.226800;-2.092156;0.240913;-9.446624;0.005130;0.101501;-0.009061;95832.341010;0.510000;5.530000;48.066500;11.644500;13.000000;0.048035
351.246800;-2.039565;0.205500;-9.549672;0.005005;0.096111;-0.010173;95833.290505;0.510000;5.530000;48.066500;11.644500;13.000000;0.054640
351.266800;-2.014844;0.221850;-9.448423;0.001762;0.100552;-0.011616;95832.045347;0.510000;5.530000;48.066500;11.644500;13.000000;0.061246
351.286800;-2.133766;0.271373;-9.421284;0.007581;0.101794;-0.008546;95830.778020;0.510000;5.530000;48.066500;11.644500;13.000000;0.067852
351.306800;-2.117061;0.220574;-9.594518;0.005211;0.100370;-0.013337;95829.510693;0.510000;5.530000;48.066500;11.644500;13.000000;0.074457
351.326800;-2.062103;0.270198;-9.450413;0.009257;0.102738;-0.009181;95828.243366;0.510000;5.530000;48.066500;11.644500;13.000000;0.081063
351.346800;-2.092923;0.301569;-9.491589;0.005202;0.099854;-0.014001;95826.976040;0.510000;5.530000;48.066500;11.644500;13.000000;0.087668
351.366800;-2.104932;0.364490;-9.511770;-0.001651;0.101603;-0.006288;95826.806000;0.510000;5.530000;48.066500;11.644500;13.000000;0.094274
351.386800;-2.117665;0.302993;-9.510659;0.006641;0.093322;-0.008914;95826.706000;0.510000;5.530000;48.066500;11.644500;13.000000;0.090331
351.406800;-2.095187;0.270281;-9.395019;0.005291;0.095106;-0.011204;95826.606000;0.510000;5.530000;48.066500;11.644500;13.000000;0.086282
351.426800;-2.073566;0.322662;-9.424609;0.001247;0.104025;-0.008622;95826.506000;0.510000;5.530000;48.066500;11.644500;13.000000;0.082232
351.446800;-2.146085;0.306395;-9.453917;0.008593;0.100369;-0.008175;95826.406000;0.510000;5.530000;48.066500;11.644500;13.000000;0.078183
351.466800;-2.106804;0.250934;-9.481069;0.003347;0.104490;-0.008988;95827.672323;0.510000;5.530000;48.066500;11.644500;13.000000;0.074134
351.486800;-2.022963;0.265608;-9.484973;0.003674;0.096841;-0.011024;95829.025859;0.510000;5.530000;48.066500;11.644500;13.000000;0.070085
351.506800;-2.181151;0.215237;-9.539415;0.005944;0.090222;-0.012393;95830.379394;0.510000;5.530000;48.066500;11.644500;13.000000;0.066035
351.526800;-2.078437;0.293053;-9.530549;0.006888;0.101467;-0.012238;95831.732929;0.510000;5.530000;48.066500;11.644500;13.000000;0.061986
351.546800;-2.038265;0.318620;-9.493632;0.007182;0.103505;-0.015729;95833.086465;0.510000;5.530000;48.066500;11.644500;13.000000;0.057937
351.566800;-2.054552;0.347166;-9.440414;0.001964;0.097962;-0.012407;95830.446800;0.510000;5.530000;48.066500;11.644500;13.000000;0.053887
351.586800;-2.069942;0.311551;-9.384130;0.007858;0.102093;-0.010354;95827.766800;0.510000;5.530000;48.066500;11.644500;13.000000;0.049867
351.606800;-2.073233;0.270826;-9.388621;0.003400;0.099840;-0.009692;95825.086800;0.510000;5.530000;48.066500;11.644500;13.000000;0.046552
351.626800;-2.084027;0.310663;-9.471818;0.003598;0.097289;-0.005829;95822.406800;0.510000;5.530000;48.066500;11.644500;13.000000;0.043238
351.646800;-2.084744;0.306001;-9.343426;0.004977;0.092083;-0.007163;95819.726800;0.510000;5.530000;48.066500;11.644500;13.000000;0.039923
351.666800;-2.072662;0.305901;-9.471464;0.005948;0.095308;-0.012777;95821.738812;0.510000;5.530000;48.066500;11.644500;13.000000;0.036608
351.686800;-2.009833;0.255668;-9.438318;0.000089;0.096485;-0.008889;95823.798218;0.510000;5.530000;48.066500;11.644500;13.000000;0.033293
351.706800;-2.092419;0.288254;-9.443385;0.002159;0.098275;-0.008463;95825.857624;0.510000;5.530000;48.066500;11.644500;13.000000;0.029978
351.726800;-2.136761;0.218356;-9.518977;0.005012;0.098670;-0.006371;95827.917030;0.510000;5.530000;48.066500;11.644500;13.000000;0.026663
351.746800;-2.108005;0.283374;-9.546222;0.005385;0.103615;-0.013568;95829.976436;0.510000;5.530000;48.066500;11.644500;13.000000;0.023348
351.766800;-2.105067;0.355760;-9.436026;0.005254;0.100081;-0.008131;95828.011111;0.510000;5.530000;48.066500;11.644500;13.000000;0.020033
351.786800;-2.113149;0.303118;-9.386664;0.006353;0.097549;-0.009544;95825.788889;0.510000;5.530000;48.066500;11.644500;13.000000;0.024042
351.806800;-2.140105;0.266151;-9.449748;0.005232;0.101820;-0.011192;95823.566667;0.510000;5.530000;48.066500;11.644500;13.000000;0.028125
351.826800;-2.140724;0.315572;-9.520958;0.006791;0.106673;-0.012037;95821.344444;0.510000;5.530000;48.066500;11.644500;13.000000;0.032207
351.846800;-2.109149;0.320417;-9.402197;0.006747;0.107352;-0.005655;95819.122222;0.510000;5.530000;48.066500;11.644500;13.000000;0.036290
351.866800;-1.981447;0.236129;-9.470706;0.005295;0.102338;-0.006242;95820.862200;0.510000;5.530000;48.066500;11.644500;13.000000;0.040373
351.886800;-2.121017;0.290412;-9.384815;0.003532;0.104281;-0.014061;95822.642200;0.510000;5.530000;48.066500;11.644500;13.000000;0.044456
351.906800;-2.051129;0.249409;-9.384907;0.007121;0.098956;-0.012489;95824.422200;0.510000;5.530000;48.066500;11.644500;13.000000;0.048538
351.926800;-2.098348;0.320959;-9.453841;0.004561;0.098536;-0.009604;95826.202200;0.510000;5.530000;48.066500;11.644500;13.000000;0.052621
351.946800;-2.086762;0.256764;-9.389952;0.007860;0.099783;-0.010831;95827.982200;0.510000;5.530000;48.066500;11.644500;13.000000;0.056704
351.966800;-2.035497;0.273756;-9.424198;0.007804;0.095116;-0.009818;95829.524600;0.510000;5.530000;48.066500;11.644500;13.000000;0.060787
351.986800;-2.080586;0.289203;-9.469986;0.004854;0.097902;-0.008921;95831.064600;0.510000;5.530000;48.066500;11.644500;13.000000;0.067484
352.006800;-2.099360;0.376785;-9.428669;0.006529;0.103615;-0.009939;95832.604600;0.510000;5.530000;48.066500;11.644500;13.000000;0.074207
352.026800;-2.117132;0.237733;-9.432764;0.008179;0.099322;-0.014740;95834.144600;0.510000;5.530000;48.066500;11.644500;13.000000;0.080931
352.046800;-2.006420;0.315187;-9.376429;0.008335;0.088322;-0.007277;95835.684600;0.510000;5.530000;48.066500;11.644500;13.000000;0.087654
352.066800;-2.080302;0.326836;-9.401679;0.005110;0.094114;-0.010111;95832.908200;0.510000;5.530000;48.066500;11.644500;13.000000;0.094378
352.086800;-2.041282;0.237226;-9.489337;0.008288;0.102354;-0.013261;95830.088200;0.510000;5.530000;48.066500;11.644500;13.000000;0.101101
352.106800;-2.053433;0.256266;-9.398497;-0.000034;0.098958;-0.009334;95827.268200;0.510000;5.530000;48.066500;11.644500;13.000000;0.107824
352.126800;-2.121395;0.304381;-9.334863;0.000852;0.095529;-0.009822;95824.448200;0.510000;5.530000;48.066500;11.644500;13.000000;0.114548
352.146800;-2.138217;0.260068;-9.479483;0.005861;0.093000;-0.006788;95821.628200;0.510000;5.530000;48.066500;11.644500;13.000000;0.121271
352.166800;-2.134054;0.268628;-9.436737;0.008575;0.100026;-0.011610;95822.411800;0.510000;5.530000;48.066500;11.644500;13.000000;0.127995
