#time, GyrY[]
352.447,0.0895591
352.467,0.105426
352.486,0.102744
352.507,0.100122
352.527,0.104089
352.547,0.0997547
352.567,0.094134
352.588,0.0944569
352.607,0.0986306
352.627,0.0953844
352.647,0.0861923
352.667,0.0919285
352.687,0.0996314
352.707,0.10076
352.727,0.0981348
352.747,0.102036
352.767,0.106823
352.788,0.0946987
352.807,0.103586
352.827,0.099999
352.847,0.099938
352.867,0.0926536
352.887,0.0970576
352.907,0.0900194
352.927,0.0990232
352.947,0.0906542
352.967,0.088228
352.988,0.0929379
353.007,0.0983783
353.027,0.0959089
353.047,0.098614
353.067,0.0888736
353.087,0.100083
353.107,0.0960361
353.127,0.0976703
353.147,0.0961093
353.167,0.0963742
353.188,0.0951846
353.207,0.0984875
353.227,0.0999394
353.247,0.0961191
353.267,0.0995257
353.287,0.0948037
353.306,0.0925331
353.327,0.0982166
353.347,0.0979354
353.367,0.0909179
353.388,0.105401
353.407,0.101131
353.427,0.0943976
353.447,0.102734
353.467,0.0980513
353.487,0.103581
353.507,0.0903481
353.527,0.0955628
353.547,0.0904825
353.567,0.0950148
353.588,0.0948655
353.607,0.102589
353.627,0.098673
353.647,0.104264
353.667,0.0951411
353.687,0.0923323
353.707,0.0962543
353.727,0.101358
353.747,0.0903258
353.767,0.100445
353.788,0.098364
353.807,0.0933532
353.827,0.0959522
353.847,0.0941184
353.867,0.0944396
353.886,0.0947434
353.907,0.0946925
353.927,0.101071
353.947,0.0982518
353.967,0.101853
353.988,0.0958079
354.007,0.0959405
354.027,0.0981461
354.047,0.101426
354.067,0.0999678
354.086,0.100192
354.107,0.100374
354.127,0.102035
354.147,0.107345
354.167,0.108595
354.188,0.0957882
354.207,0.100109
354.227,0.100249
354.247,0.0971879
354.267,0.0976559
354.287,0.0999785
354.307,0.100225
354.327,0.106164
354.347,0.0963628
354.367,0.0964779
354.388,0.0920545
354.407,0.0943202
354.427,0.0967893
354.447,0.0934329
354.467,0.0951873
354.486,0.0919414
354.507,0.0988921
354.527,0.0957614
354.547,0.102306
354.567,0.102598
354.588,0.091476
354.607,0.097089
354.627,0.0946831
354.647,0.0939464
354.667,0.0928734
354.687,0.0898075
354.706,0.0891333
354.727,0.0958758
354.747,0.087952
354.767,0.0933139
354.788,0.0996811
354.807,0.0890313
354.827,0.0904134
354.847,0.0952905
354.867,0.0839333
354.887,0.0970008
354.906,0.0931653
354.927,0.0976334
354.947,0.0967651
354.967,0.0927891
354.988,0.0906273
355.007,0.0964473
355.027,0.0906304
355.047,0.0953321
355.067,0.103003
355.087,0.0985152
355.106,0.0971774
355.127,0.101078
355.147,0.0981839
355.167,0.0953114
355.188,0.0997821
355.207,0.0928184
355.227,0.0897014
355.247,0.103557
355.267,0.0986659
355.287,0.0986325
355.307,0.100079
355.327,0.0986795
355.347,0.0853957
355.367,0.096593
355.388,0.101761
355.407,0.0945553
355.427,0.098191
355.447,0.0977629
355.467,0.0954414
355.487,0.0929481
355.507,0.096639
355.527,0.0987961
355.547,0.0893014
355.567,0.0952988
355.588,0.0930283
355.607,0.0940988
355.627,0.099519
355.647,0.101842
355.667,0.0988686
355.686,0.0947633
355.707,0.0953324
355.727,0.103183
355.747,0.101136
355.767,0.0965141
355.788,0.104621
355.807,0.0931574
355.827,0.0926741
355.847,0.102011
355.867,0.103262
355.886,0.0969317
