#time, Roll[]
329.107,0
329.148,0
329.188,0
329.227,0
329.267,0
329.307,0
329.349,0
329.389,0
329.427,0
329.467,0
329.507,0
329.548,0
329.588,0
329.628,0
329.667,0
329.707,0
329.748,0
329.788,0
329.827,0
329.867,0
329.907,0
329.948,0
329.988,0
330.028,0
330.067,0
330.107,0
330.148,0
330.189,0
330.227,0
330.267,0
330.307,0
330.348,0
330.389,0
330.427,0
330.467,0
330.507,0
330.548,0
330.588,0
330.627,0
330.667,0
330.707,0
330.748,0
330.788,0
330.827,0
330.867,0
330.907,0
330.948,0
330.988,0
331.027,0
331.067,0
331.107,0
331.148,0
331.188,0
331.227,0
331.267,0
331.307,0
331.349,0
331.389,0
331.427,0
331.467,0
331.507,0
331.548,0
331.589,0
331.628,0
331.667,0
331.707,0
331.748,0
331.789,0
331.827,0
331.867,0
331.907,0
331.948,0
331.989,0
332.028,0
332.067,0
332.107,0
332.147,0
332.189,0
332.227,0
332.268,0
332.307,0
332.348,0
332.389,0
332.427,0
332.467,0
332.507,0
332.548,0
332.589,0
332.627,0
332.667,0
332.707,0
332.748,0
332.789,0
332.827,0
332.867,0
332.907,0
332.948,0
332.989,0
333.027,0
333.067,0
333.107,0
333.148,0
333.189,0
333.227,0
333.267,0
333.307,0
333.348,0
333.389,0
333.427,0
333.467,0
333.507,0
333.548,0
333.588,0
333.628,0
333.667,0
333.707,0
333.748,0
333.788,0
333.827,0
333.867,0
333.907,0
333.948,0
333.988,0
334.027,0
334.067,0
334.107,0
334.147,0
334.188,0
334.227,0
334.267,0
334.307,0
334.348,0
334.389,0
334.427,0
334.467,0
334.507,0
334.548,0
334.588,0
334.627,0
334.667,0
334.707,0
334.748,0
334.788,0
334.827,0
334.867,0
334.907,0
334.948,0
334.988,0
335.027,0
335.067,0
335.107,0
335.148,0
335.188,0
335.227,0
335.267,0
335.307,0
335.349,0
335.389,0
335.427,0
335.467,0
335.507,0
335.548,0
335.588,0
335.627,0
335.667,0
335.707,0
335.748,0
335.788,0
335.827,0
335.867,0
335.907,0
335.948,0
335.988,0
336.027,0
336.067,0
336.107,0
336.148,0
336.188,0
336.227,0
336.268,0
336.307,0
336.349,0
336.389,0
336.427,0
336.467,0
336.507,0
336.548,0
336.588,0
336.627,0
336.667,0
336.707,0
336.748,0
336.788,0
336.827,0
336.867,0
336.907,0
336.948,0
336.989,0
337.027,0
337.067,0
337.107,0
337.148,0
337.188,0
337.227,0
337.268,0
337.307,0
337.349,0
337.389,0
337.427,0
337.467,0
337.507,0
337.548,0
337.589,0
337.627,0
337.667,0
337.707,0
337.748,0
337.788,0
337.827,-0.01
337.867,-0.01
337.907,-0.01
337.948,-0.01
337.988,-0.01
338.027,-0.01
338.067,-0.01
338.107,-0.01
338.148,-0.01
338.189,-0.01
338.227,0
338.268,0
338.307,0
338.351,0
338.389,0
338.427,0
338.467,0
338.507,0
338.548,0
338.589,0
338.627,0
338.667,0
338.707,0
338.748,0
338.789,0
338.827,0
338.867,0
338.907,0
338.948,0
338.989,0
339.027,0
339.067,0
339.107,0
339.148,0
339.189,0
339.227,0
339.267,0
339.307,0
339.348,0
339.389,0
339.427,0
339.467,0
339.507,0
339.548,0
339.589,0
339.627,0
339.667,0
339.707,0
339.748,0
339.789,0
339.827,0
339.867,0
339.907,0
339.948,0
339.989,0
340.027,0
340.067,0
340.107,0
340.148,0
340.189,0
340.227,0
340.267,0
340.307,0
340.348,0
340.389,0
340.427,0
340.467,0
340.507,0
340.548,0
340.588,0
340.627,0
340.667,0
340.707,0
340.748,0
340.788,0
340.827,0
340.867,0
340.907,0
340.948,0
340.988,0
341.027,0
